NID,CONTRIBUTOR,TOTAL
415,"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0",1
1143,"NNP GZC Car '1WHITE', Person 'B'",4
1861,"NNP GZC Car '2RED', Person 'B'",4
868,"NNP GZC Car '2RED', Person 'D'",5
953,"NNP GZC Car '6WHITE', Person 'B'",2
1931,"NNP GZC Car '2RED', Person 'D'",1
668,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",3
1958,"NNP GZC Car '3RED', Person 'B'",2
1895,"NNP GZC Car '2RED', Person 'B'",1
1248,"NNP GZC Car '1WHITE', Person 'C'",1
869,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",2
700,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1
1147,"NNP GZC Car '1WHITE', Person 'B'",2
893,"NNP GZC Car '2RED', Person 'B'",3
96,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1
300,"NNP GZC Car '2RED', Person 'A'",2
585,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",1
1546,"NNP GZC Car '1PURPLE', Person 'D'",10
1699,"NNP GZC Car '1RED', Person 'A'",1
2073,"NNP GZC Car '6RED', Person 'A'",1
108,"NNP GZC Car '1WHITE', Person 'B'",1
455,"NNP GZC Car '3PURPLE', Person 'A'",1
1469,"NNP GZC Car '5WHITE', Person 'A'",1
2059,"NNP GZC Car '6RED', Person 'B'",1
433,"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0",1
1176,"NNP GZC Car '1WHITE', Person 'A'",1
575,"NNP GZC Car '1PURPLE', Person 'D'",3
1846,"NNP GZC Car '14WHITE', Person 'A'",2
1846,"NNP GZC Car '1PURPLE', Person 'D'",1
727,"NNP GZC Car '1PURPLE', Person 'A'",1
1998,"NNP GZC Car '1RED', Person 'A'",1
1971,"NNP GZC Car '1RED', Person 'B'",3
487,"NNP GZC Car '11WHITE', Person 'A'",2
749,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",2
