NID,Count
1581,1
885,1
1582,1
1358,1
914,1
1360,1
944,1
1569,1
1086,1
1013,1
1600,1
1460,1
1280,1
2132,1
1667,1
2082,1
1033,1
1232,1
2079,1
1456,1
1100,1
1080,1
1023,1
1805,1
1980,1
1409,1
960,1
401,1
1313,1
1575,1
2162,1
761,1
1401,1
611,1
2118,1
2148,1
569,1
1740,1
1759,1
919,1
1912,1
1255,1
1294,1
1614,1
1402,1
1302,1
2077,1
1664,1
713,1
1235,1
1919,1
1772,1
1094,1
1593,1
1908,1
922,1
1739,1
1574,1
1981,1
1304,1
448,1
1314,1
1252,1
1909,1
1233,1
900,1
1777,1
1211,1
1303,1
707,1
2070,1
1757,1
601,1
915,1
545,1
1565,1
1469,1
1833,1
1336,1
1461,1
586,1
565,1
1251,1
1725,1
553,1
1063,1
1886,1
1706,1
1072,1
1317,1
2075,1
2071,1
2120,1
312,1
904,1
1603,1
1196,1
756,1
1188,1
1692,1
818,1
1613,1
1133,1
1258,1
2147,1
1748,1
2043,1
1236,1
1038,1
558,1
413,1
2140,1
887,1
529,1
1812,1
1778,1
859,1
583,1
1392,1
972,1
1589,1
2065,1
1346,1
1247,1
597,1
1323,1
760,1
2056,1
856,1
571,1
910,1
574,1
1193,1
1105,1
1618,1
1199,1
1447,1
1924,1
1404,1
1019,1
2087,1
1470,1
1774,1
321,1
1468,1
1916,1
1307,1
689,1
418,1
562,1
2080,1
1112,1
1337,1
1227,1
1685,1
1122,1
1400,1
1894,1
2161,1
1186,1
1370,1
2090,1
1762,1
1611,1
2089,1
848,1
1403,1
751,1
1915,1
637,1
916,1
1312,1
1424,1
894,1
1475,1
1782,1
930,1
1471,1
1988,1
417,1
1779,1
1849,1
1465,1
2068,1
1259,1
886,1
1315,1
1476,1
591,1
1457,1
406,1
1129,1
449,1
1903,1
711,1
2001,1
1246,1
1093,1
1222,1
1986,1
551,1
1918,1
1588,1
703,1
2048,1
2049,1
1070,1
843,1
578,1
1787,1
700,1
567,1
1595,1
699,1
1257,1
949,1
1744,1
1008,1
416,1
1683,1
1348,1
1016,1
1198,1
409,1
2160,1
947,1
764,1
444,1
1368,1
1119,1
1372,1
766,1
710,1
1738,1
1906,1
1901,1
522,1
1020,1
758,1
587,1
1436,1
631,1
1544,1
1084,1
1397,1
1341,1
1808,1
581,1
857,1
1369,1
2078,1
909,1
1328,1
593,1
1708,1
2055,1
754,1
1669,1
1088,1
2158,1
1365,1
1795,1
931,1
1913,1
1700,1
845,1
1418,1
1238,1
1902,1
590,1
976,1
1597,1
1749,1
694,1
757,1
433,1
1712,1
421,1
1746,1
1830,1
1311,1
1200,1
1287,1
1691,1
1609,1
911,1
2141,1
594,1
948,1
2088,1
2134,1
1467,1
1362,1
1791,1
1693,1
1929,1
319,1
1602,1
1248,1
1123,1
917,1
912,1
1117,1
1780,1
1663,1
1305,1
918,1
1430,1
2046,1
1005,1
809,1
311,1
1361,1
1983,1
1617,1
1454,1
1993,1
1750,1
2152,1
1634,1
942,1
1464,1
1714,1
1428,1
1405,1
1444,1
1420,1
1335,1
1754,1
2061,1
1751,1
424,1
1783,1
1316,1
1343,1
1393,1
956,1
1355,1
1543,1
1798,1
598,1
549,1
1180,1
1889,1
1742,1
1367,1
817,1
1006,1
1099,1
555,1
945,1
309,1
2067,1
2076,1
1237,1
568,1
1679,1
1587,1
399,1
1755,1
2183,1
1295,1
1896,1
1727,1
634,1
1590,1
1202,1
2145,1
1789,1
2155,1
600,1
2050,1
752,1
566,1
584,1
1629,1
1260,1
1111,1
1844,1
850,1
1474,1
1753,1
705,1
1124,1
1610,1
755,1
2057,1
1437,1
1442,1
704,1
1194,1
1245,1
1713,1
1106,1
1298,1
446,1
808,1
946,1
635,1
1322,1
810,1
978,1
1619,1
2092,1
1371,1
2123,1
302,1
1205,1
1897,1
765,1
2083,1
1300,1
853,1
1790,1
556,1
392,1
1747,1
1423,1
2159,1
498,1
1670,1
1240,1
1132,1
599,1
2156,1
516,1
1345,1
548,1
1434,1
1608,1
807,1
1116,1
1607,1
1796,1
573,1
851,1
759,1
1389,1
2154,1
1026,1
974,1
1242,1
1225,1
2062,1
1584,1
1741,1
2073,1
563,1
1580,1
2135,1
1089,1
1443,1
1792,1
570,1
1920,1
762,1
2063,1
1261,1
636,1
415,1
1852,1
1451,1
1015,1
1340,1
1007,1
509,1
1024,1
1253,1
438,1
1684,1
1793,1
1221,1
1851,1
2122,1
921,1
958,1
854,1
1596,1
1987,1
1309,1
1003,1
2136,1
1029,1
1364,1
975,1
1709,1
1687,1
1729,1
1773,1
1014,1
1703,1
1292,1
1411,1
1082,1
849,1
1927,1
698,1
2060,1
