AID,GID,NID,CONTRIBUTOR
13706,7294,1785,"NNP GZC Car '7WHITE', Person 'B'"
10708,8129,377,"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0"
15192,2429,1510,"NNP GZC Car '1PURPLE', Person 'D'"
12186,3529,1066,"NNP GZC Car '25PURPLE', Person 'A'"
13161,6998,1266,"NNP GZC Car '6WHITE', Person 'B'"
17712,6397,2032,"NNP GZC Car '6RED', Person 'A'"
16969,2714,374,"NNP GZC Car '1RED', Person 'A'"
12690,3348,1203,"NNP GZC Car '1WHITE', Person 'C'"
12312,1427,1043,"NNP GZC Car '1BLUE', Person 'C'"
10415,7955,502,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0"
12427,1425,1681,"NNP GZC Car '1BLUE', Person 'C'"
12040,9246,992,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
12368,1411,892,"NNP GZC Car '1BLUE', Person 'C'"
14825,1962,1542,"NNP GZC Car '1PURPLE', Person 'B'"
14541,1972,1495,"NNP GZC Car '1PURPLE', Person 'B'"
11106,8482,793,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
13051,7016,1313,"NNP GZC Car '6WHITE', Person 'B'"
15299,1907,1571,"NNP GZC Car '1PURPLE', Person 'B'"
13859,5669,497,"NNP GZC Car '4RED', Person 'A'"
17916,4669,1884,"NNP GZC Car '2RED', Person 'C'"
15715,1981,1534,"NNP GZC Car '1PURPLE', Person 'B'"
14897,1633,824,"NNP GZC Car '1PURPLE', Person 'A'"
10801,8189,350,"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0"
14876,1538,2165,"NNP GZC Car '1PURPLE', Person 'A'"
13210,6946,1276,"NNP GZC Car '6WHITE', Person 'B'"
12261,1447,1679,"NNP GZC Car '1BLUE', Person 'C'"
14735,1513,1635,"NNP GZC Car '1PURPLE', Person 'A'"
12145,3556,1055,"NNP GZC Car '25PURPLE', Person 'A'"
15802,1641,1556,"NNP GZC Car '1PURPLE', Person 'A'"
10469,7993,478,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0"
13049,7034,564,"NNP GZC Car '6WHITE', Person 'B'"
18278,4107,1886,"NNP GZC Car '2RED', Person 'B'"
11074,8458,769,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
12822,5326,1732,"NNP GZC Car '3WHITE', Person 'A'"
11991,9197,965,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
12939,5319,1720,"NNP GZC Car '3WHITE', Person 'A'"
17726,6653,2053,"NNP GZC Car '6RED', Person 'B'"
10154,7791,485,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0"
10714,8132,377,"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0"
12578,3382,1198,"NNP GZC Car '1WHITE', Person 'C'"
12384,1374,1675,"NNP GZC Car '1BLUE', Person 'C'"
11758,8997,870,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
12336,1464,681,"NNP GZC Car '1BLUE', Person 'D'"
18705,4306,1866,"NNP GZC Car '2RED', Person 'B'"
11694,8926,841,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
15543,158,796,"NNP GZC Car '11WHITE', Person 'A'"
16271,5064,2104,"NNP GZC Car '3RED', Person 'A'"
15171,1834,1546,"NNP GZC Car '1PURPLE', Person 'B'"
16562,7487,2165,"NNP GZC Car '8WHITE', Person 'A'"
16119,5172,2105,"NNP GZC Car '3RED', Person 'B'"
11518,8807,684,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
18627,4243,643,"NNP GZC Car '2RED', Person 'B'"
17348,6536,1859,"NNP GZC Car '6RED', Person 'B'"
16207,5177,2129,"NNP GZC Car '3RED', Person 'B'"
12742,3373,1163,"NNP GZC Car '1WHITE', Person 'C'"
10379,7931,278,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0"
14214,759,667,"NNP GZC Car '14WHITE', Person 'A'"
17232,2992,1938,"NNP GZC Car '1RED', Person 'B'"
16230,5179,2113,"NNP GZC Car '3RED', Person 'B'"
10452,7979,481,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0"
15369,1554,1546,"NNP GZC Car '1PURPLE', Person 'A'"
15655,876,1648,"NNP GZC Car '15WHITE', Person 'A'"
18324,4585,1894,"NNP GZC Car '2RED', Person 'C'"
17659,6447,706,"NNP GZC Car '6RED', Person 'B'"
18128,4834,881,"NNP GZC Car '2RED', Person 'D'"
16713,2961,1942,"NNP GZC Car '1RED', Person 'B'"
18369,4628,1882,"NNP GZC Car '2RED', Person 'C'"
