AID,GID,NID,CONTRIBUTOR
9365,518,225,"NNP GZC Car '13WHITE', Person 'B'"
9008,3337,114,"NNP GZC Car '1WHITE', Person 'C'"
9310,7278,212,"NNP GZC Car '7WHITE', Person 'B'"
9318,7272,135,"NNP GZC Car '7WHITE', Person 'B'"
9413,890,234,"NNP GZC Car '15WHITE', Person 'A'"
9420,1065,234,"NNP GZC Car '15WHITE', Person 'D'"
10079,6776,56,"NNP GZC Car '6RED', Person 'B'"
8983,9354,17,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
9299,6119,209,"NNP GZC Car '5WHITE', Person 'A'"
9048,3314,80,"NNP GZC Car '1WHITE', Person 'C'"
9107,3087,33,"NNP GZC Car '1WHITE', Person 'A'"
8933,3307,80,"NNP GZC Car '1WHITE', Person 'C'"
9657,6919,4,"NNP GZC Car '6WHITE', Person 'B'"
10029,4078,273,"NNP GZC Car '2RED', Person 'B'"
9926,5472,105,"NNP GZC Car '3WHITE', Person 'A'"
8851,3143,79,"NNP GZC Car '1WHITE', Person 'A'"
8970,9347,56,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
9224,2071,156,"NNP GZC Car '1PURPLE', Person 'C'"
9459,2104,157,"NNP GZC Car '1PURPLE', Person 'D'"
10010,4439,273,"NNP GZC Car '2RED', Person 'C'"
8861,3120,42,"NNP GZC Car '1WHITE', Person 'A'"
9903,5471,105,"NNP GZC Car '3WHITE', Person 'A'"
9821,5570,144,"NNP GZC Car '3WHITE', Person 'A'"
9442,897,234,"NNP GZC Car '15WHITE', Person 'A'"
8975,9316,11,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
8966,3164,146,"NNP GZC Car '1WHITE', Person 'A'"
9916,5585,74,"NNP GZC Car '3WHITE', Person 'A'"
9056,9346,72,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
8915,9163,29,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
8918,9323,58,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
8992,3321,48,"NNP GZC Car '1WHITE', Person 'C'"
9852,5388,138,"NNP GZC Car '3WHITE', Person 'A'"
9574,6918,4,"NNP GZC Car '6WHITE', Person 'B'"
9771,7375,158,"NNP GZC Car '8WHITE', Person 'A'"
9351,444,74,"NNP GZC Car '13WHITE', Person 'A'"
9314,7164,135,"NNP GZC Car '7WHITE', Person 'A'"
9043,8331,27,"GIRM_MUGU_20,hyrule:joncrall:/media/raid/work/GIRM_MUGU_20,,,,,0"
9000,9225,54,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
10110,6460,189,"NNP GZC Car '6RED', Person 'B'"
9313,7158,135,"NNP GZC Car '7WHITE', Person 'A'"
9285,6128,56,"NNP GZC Car '5WHITE', Person 'A'"
9258,2065,157,"NNP GZC Car '1PURPLE', Person 'C'"
10044,4812,273,"NNP GZC Car '2RED', Person 'D'"
8972,9347,78,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
8891,3305,13,"NNP GZC Car '1WHITE', Person 'B'"
9548,4965,166,"NNP GZC Car '3PURPLE', Person 'A'"
9022,9115,119,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
9101,8316,115,"GIRM_MUGU_20,hyrule:joncrall:/media/raid/work/GIRM_MUGU_20,,,,,0"
9087,3162,70,"NNP GZC Car '1WHITE', Person 'A'"
9582,6958,105,"NNP GZC Car '6WHITE', Person 'B'"
9029,3292,108,"NNP GZC Car '1WHITE', Person 'B'"
9523,947,234,"NNP GZC Car '15WHITE', Person 'B'"
9055,9346,83,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
9214,2161,158,"NNP GZC Car '1PURPLE', Person 'D'"
8885,8324,64,"GIRM_MUGU_20,hyrule:joncrall:/media/raid/work/GIRM_MUGU_20,,,,,0"
8894,9348,46,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
9175,224,74,"NNP GZC Car '11WHITE', Person 'A'"
9139,3316,77,"NNP GZC Car '1WHITE', Person 'C'"
8872,3129,42,"NNP GZC Car '1WHITE', Person 'A'"
9863,5573,100,"NNP GZC Car '3WHITE', Person 'A'"
9102,9312,9,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
9921,5288,158,"NNP GZC Car '3WHITE', Person 'A'"
9610,6930,172,"NNP GZC Car '6WHITE', Person 'B'"
8906,9221,18,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
8962,3319,48,"NNP GZC Car '1WHITE', Person 'C'"
9887,5289,158,"NNP GZC Car '3WHITE', Person 'A'"
9016,9215,18,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
